Nombre,Clasificacion,Altura_Jugador,Peso_Jugador,Pie_Dominante,Edad,Control_Balon,Posicion_Ataque,Pase_Corto,Pase_Largo,Velocidad,Stamina,Agilidad,Cabezazo,Potencia_Disparo,Remate,Disparo_Largo,Penaltis
James Rodríguez,87,180,75,0,31,85,80,84,80,75,68,82,62,86,82,91,81
Carlos Bacca,83,181,77,1,36,80,87,72,50,83,74,78,76,78,88,70,79
Juan Cuadrado,83,179,71,1,34,85,78,77,73,93,83,91,58,84,71,80,65
Falcao,82,177,72,1,36,81,85,67,53,68,68,85,90,78,83,76,84
Jeison Murillo,80,182,78,1,30,63,45,61,61,78,74,78,80,68,37,13,46
David Ospina,79,183,80,1,34,32,16,36,32,34,29,44,15,35,10,12,26
José Izquierdo,78,171,75,1,30,78,75,69,63,93,84,90,60,78,71,77,58
Duván Zapata,78,189,88,1,31,76,78,64,38,78,69,65,78,86,81,64,64
Teófilo Gutiérrez,78,178,82,1,37,83,81,77,69,67,68,76,73,78,80,76,72
Dorlan Pabón,78,168,73,1,34,79,79,69,70,86,83,82,51,86,78,77,80
Fredy Montero,78,176,73,1,35,86,77,78,68,74,74,87,75,80,78,82,77
Bernardo Espinosa,78,192,84,1,33,63,33,75,62,66,63,55,78,56,39,42,52
Cristian Zapata,78,186,78,1,36,52,35,50,58,69,68,59,76,60,22,28,38
Adrián Ramos,78,185,74,1,36,75,78,69,55,83,72,75,86,76,78,64,72
Davinson Sánchez,77,187,79,1,26,62,34,65,61,75,69,64,81,74,40,44,44
Daniel Torres,77,183,81,1,33,72,62,76,75,57,80,68,61,73,55,61,72
Felipe Pardo,77,178,83,1,32,78,79,70,67,79,67,77,67,83,75,75,67
Juan Fernando Quintero,77,169,64,0,29,83,62,78,75,72,47,88,42,83,64,73,71
Jhon Córdoba,77,185,85,1,29,73,76,69,54,85,77,66,74,82,73,68,69
Luis Muriel,77,178,79,1,31,86,76,74,55,90,72,86,52,80,76,71,74
Dayro Moreno,77,177,73,1,37,76,77,69,62,71,74,74,69,81,78,80,80
Carlos Sánchez,77,182,82,0,36,75,58,78,76,68,84,64,70,72,48,68,62
Sebastián Pérez,76,176,70,1,29,79,66,80,78,66,78,69,50,72,50,73,52
